prediction,sample
left_hand,4159
left_hand,4223
left_hand,4287
left_hand,4351
,4415
left_hand,4479
left_hand,4543
left_hand,4607
left_hand,4671
left_hand,4735
left_hand,4799
left_hand,4863
left_hand,4927
left_hand,4991
left_hand,5055
left_hand,5119
left_hand,5183
left_hand,5247
left_hand,5311
left_hand,5375
left_hand,5439
left_hand,5503
left_hand,5567
left_hand,5631
left_hand,5695
left_hand,5759
left_hand,5823
left_hand,5887
left_hand,5951
left_hand,6015
left_hand,6079
left_hand,6143
,6207
,6271
,6335
,6399
,6463
,6527
,6591
,6655
,6719
,6783
,6847
,6911
,6975
left_hand,7039
left_hand,7103
left_hand,7167
,7231
,7295
,7359
,7423
,7487
,7551
,7615
,7679
,7743
,7807
,7871
left_hand,7935
left_hand,7999
left_hand,8063
left_hand,8127
left_hand,8191
left_hand,8255
left_hand,8319
left_hand,8383
left_hand,8447
left_hand,8511
left_hand,8575
left_hand,8639
left_hand,8703
left_hand,8767
left_hand,8831
left_hand,8895
,8959
,9023
,9087
,9151
,9215
,9279
,9343
,9407
,9471
left_hand,9535
left_hand,9599
left_hand,9663
left_hand,9727
left_hand,9791
left_hand,9855
left_hand,9919
left_hand,9983
left_hand,10047
left_hand,10111
left_hand,10175
left_hand,10239
left_hand,10303
left_hand,10367
left_hand,10431
left_hand,10495
left_hand,10559
left_hand,10623
left_hand,10687
left_hand,10751
left_hand,10815
left_hand,10879
left_hand,10943
left_hand,11007
left_hand,11071
left_hand,11135
left_hand,11199
left_hand,11263
left_hand,11327
left_hand,11391
left_hand,11455
left_hand,11519
left_hand,11583
left_hand,11647
left_hand,11711
left_hand,11775
left_hand,11839
left_hand,11903
left_hand,11967
left_hand,12031
left_hand,12095
left_hand,12159
left_hand,12223
left_hand,12287
left_hand,12351
left_hand,12415
left_hand,12479
left_hand,12543
left_hand,12607
left_hand,12671
left_hand,12735
left_hand,12799
left_hand,12863
left_hand,12927
left_hand,12991
left_hand,13055
,13119
,13183
,13247
,13311
,13375
,13439
,13503
,13567
,13631
right_hand,13695
right_hand,13759
,13823
,13887
right_hand,13951
right_hand,14015
right_hand,14079
right_hand,14143
right_hand,14207
right_hand,14271
right_hand,14335
right_hand,14399
,14463
,14527
,14591
,14655
,14719
,14783
,14847
,14911
,14975
,15039
,15103
left_hand,15167
left_hand,15231
left_hand,15295
left_hand,15359
,15423
,15487
,15551
,15615
,15679
left_hand,15743
left_hand,15807
left_hand,15871
left_hand,15935
left_hand,15999
left_hand,16063
left_hand,16127
left_hand,16191
left_hand,16255
left_hand,16319
left_hand,16383
left_hand,16447
left_hand,16511
