prediction,sample
left_hand,4159
left_hand,4415
left_hand,4671
left_hand,4991
left_hand,5247
left_hand,5503
left_hand,5759
left_hand,6015
left_hand,6271
right_hand,6527
Nothing,6783
left_hand,7039
left_hand,7295
left_hand,7551
left_hand,7871
left_hand,8127
left_hand,8383
left_hand,8639
left_hand,8895
left_hand,9151
left_hand,9407
left_hand,9663
left_hand,9919
left_hand,10175
left_hand,10495
left_hand,10751
left_hand,11007
left_hand,11263
left_hand,11519
left_hand,11775
left_hand,12031
left_hand,12287
left_hand,12543
left_hand,12863
left_hand,13119
right_hand,13375
right_hand,13631
right_hand,13887
right_hand,14143
right_hand,14399
Nothing,14655
Nothing,14911
left_hand,15167
left_hand,15487
left_hand,15743
left_hand,15999
left_hand,16255
left_hand,16511
left_hand,16767
left_hand,17023
left_hand,17279
left_hand,17535
left_hand,17791
left_hand,18111
left_hand,18367
right_hand,18623
right_hand,18879
right_hand,19135
right_hand,19391
right_hand,19647
right_hand,19903
right_hand,20159
right_hand,20479
Nothing,20735
left_hand,20991
left_hand,21247
left_hand,21503
left_hand,21759
right_hand,22015
Nothing,22271
left_hand,22527
left_hand,22783
left_hand,23039
left_hand,23359
left_hand,23615
Nothing,23871
Nothing,24127
left_hand,24383
left_hand,24639
left_hand,24895
left_hand,25151
left_hand,25407
left_hand,25663
left_hand,25983
left_hand,26239
left_hand,26495
left_hand,26751
left_hand,27007
left_hand,27263
left_hand,27519
left_hand,27775
left_hand,28031
right_hand,28351
right_hand,28607
left_hand,28863
left_hand,29119
left_hand,29375
left_hand,29631
Nothing,29887
right_hand,30143
right_hand,30399
Nothing,30655
Nothing,30975
right_hand,31231
right_hand,31487
right_hand,31743
right_hand,31999
right_hand,32255
right_hand,32511
right_hand,32767
right_hand,33023
right_hand,33279
right_hand,33599
right_hand,33855
right_hand,34111
right_hand,34367
left_hand,34623
left_hand,34879
left_hand,35135
left_hand,35391
left_hand,35647
right_hand,35903
right_hand,36223
left_hand,36479
left_hand,36735
left_hand,36991
left_hand,37247
left_hand,37503
left_hand,37759
left_hand,38015
left_hand,38271
left_hand,38527
right_hand,38847
left_hand,39103
left_hand,39359
left_hand,39615
Nothing,39871
Nothing,40127
Nothing,40383
right_hand,40639
right_hand,40895
right_hand,41215
Nothing,41471
left_hand,41727
left_hand,41983
left_hand,42239
Nothing,42495
right_hand,42751
right_hand,43007
Nothing,43263
left_hand,43519
left_hand,43839
Nothing,44095
right_hand,44351
right_hand,44607
Nothing,44863
left_hand,45119
right_hand,45375
right_hand,45631
right_hand,45887
right_hand,46143
left_hand,46463
left_hand,46719
left_hand,46975
left_hand,47231
left_hand,47487
left_hand,47743
left_hand,47999
left_hand,48255
left_hand,48511
left_hand,48767
left_hand,49087
left_hand,49343
left_hand,49599
left_hand,49855
left_hand,50111
left_hand,50367
left_hand,50623
right_hand,50879
right_hand,51135
right_hand,51391
left_hand,51711
left_hand,51967
left_hand,52223
left_hand,52479
left_hand,52735
left_hand,52991
left_hand,53247
left_hand,53503
right_hand,53759
right_hand,54079
right_hand,54335
right_hand,54591
right_hand,54847
left_hand,55103
left_hand,55359
left_hand,55615
Nothing,55871
left_hand,56127
left_hand,56383
left_hand,56639
left_hand,56959
Nothing,57215
right_hand,57471
right_hand,57727
right_hand,57983
right_hand,58239
right_hand,58495
right_hand,58751
right_hand,59007
left_hand,59327
left_hand,59583
left_hand,59839
left_hand,60095
left_hand,60351
left_hand,60607
left_hand,60863
left_hand,61119
left_hand,61375
left_hand,61631
Nothing,61951
right_hand,62207
right_hand,62463
Nothing,62719
left_hand,62975
left_hand,63231
left_hand,63487
left_hand,63743
right_hand,63999
Nothing,64255
Nothing,64575
right_hand,64831
Nothing,65087
left_hand,65343
left_hand,65599
left_hand,65855
left_hand,66111
left_hand,66367
left_hand,66623
left_hand,66879
left_hand,67199
left_hand,67455
left_hand,67711
left_hand,67967
left_hand,68287
left_hand,68543
left_hand,68799
left_hand,69055
left_hand,69311
left_hand,69567
left_hand,69823
Nothing,70079
Nothing,70335
Nothing,70591
Nothing,70911
right_hand,71167
right_hand,71423
left_hand,71679
left_hand,71935
left_hand,72191
left_hand,72447
left_hand,72703
left_hand,72959
Nothing,73279
left_hand,73535
left_hand,73791
left_hand,74047
left_hand,74303
left_hand,74559
left_hand,74815
left_hand,75071
left_hand,75327
left_hand,75583
left_hand,75903
left_hand,76159
left_hand,76415
left_hand,76671
left_hand,76927
left_hand,77183
Nothing,77439
right_hand,77695
right_hand,77951
Nothing,78207
left_hand,78527
left_hand,78783
left_hand,79039
left_hand,79295
left_hand,79551
left_hand,79807
left_hand,80063
left_hand,80319
left_hand,80575
left_hand,80831
left_hand,81151
left_hand,81407
left_hand,81663
left_hand,81919
left_hand,82175
left_hand,82431
left_hand,82687
left_hand,82943
left_hand,83199
left_hand,83455
Nothing,83775
right_hand,84031
right_hand,84287
left_hand,84543
left_hand,84799
left_hand,85055
left_hand,85311
left_hand,85567
Nothing,85823
left_hand,86079
left_hand,86399
left_hand,86655
left_hand,86911
left_hand,87167
Nothing,87423
right_hand,87679
right_hand,87935
right_hand,88191
right_hand,88447
right_hand,88703
left_hand,89023
left_hand,89279
left_hand,89535
left_hand,89791
right_hand,90047
right_hand,90303
