prediction,sample
left_hand,4159
left_hand,4415
left_hand,4671
left_hand,4927
left_hand,5247
left_hand,5503
left_hand,5759
left_hand,6015
left_hand,6271
right_hand,6527
left_hand,6783
left_hand,7039
left_hand,7295
left_hand,7551
left_hand,7871
left_hand,8127
left_hand,8383
left_hand,8639
left_hand,8895
left_hand,9151
left_hand,9407
left_hand,9663
left_hand,9919
left_hand,10175
left_hand,10495
left_hand,10751
left_hand,11007
left_hand,11263
left_hand,11519
left_hand,11775
left_hand,12031
left_hand,12287
left_hand,12543
left_hand,12799
left_hand,13119
right_hand,13375
right_hand,13631
right_hand,13887
right_hand,14143
right_hand,14399
left_hand,14655
left_hand,14911
left_hand,15167
left_hand,15487
left_hand,15743
left_hand,15999
left_hand,16255
left_hand,16511
left_hand,16767
left_hand,17023
left_hand,17279
left_hand,17535
left_hand,17791
left_hand,18111
left_hand,18367
right_hand,18623
right_hand,18879
right_hand,19135
right_hand,19391
right_hand,19647
right_hand,19903
right_hand,20159
right_hand,20415
left_hand,20735
left_hand,20991
left_hand,21247
left_hand,21503
left_hand,21759
right_hand,22015
right_hand,22271
left_hand,22527
left_hand,22783
left_hand,23039
left_hand,23359
left_hand,23615
left_hand,23871
right_hand,24127
left_hand,24383
left_hand,24639
left_hand,24895
left_hand,25151
left_hand,25407
left_hand,25663
left_hand,25983
left_hand,26239
left_hand,26495
left_hand,26751
left_hand,27007
left_hand,27263
left_hand,27519
left_hand,27775
left_hand,28031
right_hand,28351
right_hand,28607
left_hand,28863
left_hand,29119
left_hand,29375
left_hand,29631
right_hand,29887
right_hand,30143
right_hand,30399
right_hand,30655
left_hand,30975
right_hand,31231
right_hand,31487
right_hand,31743
right_hand,31999
right_hand,32255
right_hand,32511
right_hand,32767
right_hand,33023
right_hand,33279
right_hand,33599
right_hand,33855
right_hand,34111
right_hand,34367
left_hand,34623
left_hand,34879
left_hand,35135
left_hand,35391
left_hand,35647
right_hand,35903
right_hand,36223
left_hand,36479
left_hand,36735
left_hand,36991
left_hand,37247
left_hand,37503
left_hand,37759
left_hand,38015
left_hand,38271
left_hand,38527
right_hand,38847
left_hand,39103
left_hand,39359
left_hand,39615
left_hand,39871
right_hand,40127
left_hand,40383
right_hand,40639
right_hand,40895
right_hand,41151
left_hand,41471
left_hand,41727
left_hand,41983
left_hand,42239
left_hand,42495
right_hand,42751
right_hand,43007
right_hand,43263
left_hand,43519
left_hand,43839
left_hand,44095
right_hand,44351
right_hand,44607
left_hand,44863
left_hand,45119
right_hand,45375
right_hand,45631
right_hand,45887
right_hand,46143
left_hand,46463
left_hand,46719
left_hand,46975
left_hand,47231
left_hand,47487
left_hand,47743
left_hand,47999
left_hand,48255
left_hand,48511
left_hand,48767
left_hand,49087
left_hand,49343
left_hand,49599
left_hand,49855
left_hand,50111
left_hand,50367
left_hand,50623
right_hand,50879
right_hand,51135
right_hand,51391
left_hand,51711
left_hand,51967
left_hand,52223
left_hand,52479
left_hand,52735
left_hand,52991
left_hand,53247
left_hand,53503
right_hand,53759
right_hand,54015
right_hand,54335
right_hand,54591
right_hand,54847
left_hand,55103
left_hand,55359
left_hand,55615
right_hand,55871
left_hand,56127
left_hand,56383
left_hand,56639
left_hand,56959
left_hand,57215
right_hand,57471
right_hand,57727
right_hand,57983
right_hand,58239
right_hand,58495
right_hand,58751
right_hand,59007
left_hand,59327
left_hand,59583
left_hand,59839
left_hand,60095
left_hand,60351
left_hand,60607
left_hand,60863
left_hand,61119
left_hand,61375
left_hand,61631
left_hand,61887
right_hand,62207
right_hand,62463
left_hand,62719
left_hand,62975
left_hand,63231
left_hand,63487
left_hand,63743
right_hand,63999
right_hand,64255
right_hand,64575
right_hand,64831
right_hand,65087
left_hand,65343
left_hand,65599
left_hand,65855
left_hand,66111
left_hand,66367
left_hand,66623
left_hand,66879
left_hand,67199
left_hand,67455
left_hand,67711
left_hand,67967
left_hand,68223
left_hand,68479
left_hand,68735
left_hand,68991
left_hand,69247
left_hand,69503
left_hand,69823
left_hand,70079
right_hand,70335
left_hand,70591
right_hand,70847
right_hand,71103
right_hand,71359
left_hand,71615
left_hand,71871
left_hand,72127
left_hand,72447
left_hand,72703
left_hand,72959
right_hand,73215
left_hand,73471
left_hand,73727
left_hand,73983
left_hand,74239
left_hand,74495
left_hand,74815
left_hand,75071
left_hand,75327
left_hand,75583
left_hand,75839
left_hand,76095
left_hand,76351
left_hand,76607
left_hand,76863
left_hand,77119
left_hand,77439
right_hand,77695
right_hand,77951
left_hand,78207
left_hand,78463
left_hand,78719
left_hand,78975
left_hand,79231
left_hand,79487
left_hand,79743
left_hand,79999
left_hand,80319
left_hand,80575
left_hand,80831
left_hand,81087
left_hand,81343
left_hand,81599
left_hand,81855
left_hand,82111
left_hand,82367
left_hand,82687
left_hand,82943
left_hand,83199
left_hand,83455
left_hand,83711
right_hand,83967
right_hand,84223
left_hand,84479
left_hand,84735
left_hand,84991
left_hand,85311
left_hand,85567
left_hand,85823
left_hand,86079
left_hand,86335
left_hand,86591
left_hand,86847
left_hand,87103
left_hand,87359
right_hand,87615
right_hand,87935
right_hand,88191
right_hand,88447
right_hand,88703
left_hand,88959
left_hand,89215
left_hand,89471
left_hand,89727
right_hand,89983
right_hand,90239
right_hand,90303
